cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0008	c0008	sb0002	2	102	0.9573931502064288	3.52	0.5254347764533314
p01-s01-c0008	c0008	sb0002	3	101	0.9534820738020556	3.43	0.5006765289862227
p01-s01-c0008	c0008	sb0002	4	100	0.9565260288106366	3.52	0.5218555876446545
p01-s01-c0008	c0008	sb0002	5	100	0.9597379976269358	3.66	0.5329617145739675
p01-s01-c0008	c0008	sb0003	0	100	0.9549670784452735		
p01-s01-c0008	c0008	sb0003	1	101	0.9550334501693248	3.79	0.54618526066885
p01-s01-c0008	c0008	sb0003	2	103	0.9582536289690774	3.35	0.521704095666073
p01-s01-c0008	c0008	sb0003	3	102	0.9600319760379646	3.58	0.5320000723196694
p01-s01-c0008	c0008	sb0003	4	105	0.9608254486691851	3.61	0.5341267638728889
p01-s01-c0008	c0008	sb0003	5	107	0.9613562234871338	3.59	0.5374430924969448
p01-s01-c0009	c0009	sb0001	0	100	0.9549670784452735		
p01-s01-c0009	c0009	sb0001	1	114	0.9566730033604324	4.44	0.5185682886068989
p01-s01-c0009	c0009	sb0001	2	122	0.9572876964047455	4.51	0.5426711389289247
p01-s01-c0009	c0009	sb0001	3	131	0.9546353640676318	4.4	0.5200876296939364
p01-s01-c0009	c0009	sb0001	4	137	0.9547752725187948	4.63	0.5450294330516041
p01-s01-c0009	c0009	sb0001	5	141	0.9546784341701798	4.51	0.5422090534385031
p01-s01-c0009	c0009	sb0002	0	100	0.9549670784452735		
p01-s01-c0009	c0009	sb0002	1	116	0.9549838869169879	4.52	0.5144838523451263
