cell_id	seed_block_id	response	window	start_generation	end_generation	mean	median	sd	cv	q05	q95	lag1_autocorrelation	integrated_autocorrelation_time
p01-s02-c0021	sb0004	D2	2	101	150	22.206678353185957	22.206522549555398	0.0007088334667012436	3.191983309829623e-05	22.20591429082959	22.20830616621354	0.8463971078610026	5.274625108005792
p01-s02-c0021	sb0004	D2	3	151	200	22.205968413631226	22.205890538066548	0.0007341007466843689	3.305871345082784e-05	22.20485922827348	22.207011771901854	0.8372749674690367	7.8350857608010385
p01-s02-c0021	sb0004	D2	4	201	250	22.206134900918922	22.206101452801104	0.0007939444486609789	3.575338311702881e-05	22.20481730975077	22.207398549122427	0.856791821263786	8.310723826048072
p01-s02-c0021	sb0004	evenness	1	51	100	0.7671928621776865	0.767193176335266	8.065188135065232e-06	1.0512595375525387e-05	0.7671788547142833	0.7672043562519384	0.8905552422044878	6.810450464332294
p01-s02-c0021	sb0004	evenness	2	101	150	0.767195872429619	0.7671960197884944	5.049499610560167e-06	6.581760658551247e-06	0.7671876538933866	0.7672050377661187	0.7987638297925893	3.5811885603195
p01-s02-c0021	sb0004	evenness	3	151	200	0.7671889034336837	0.767188527353601	5.397490854075301e-06	7.0354130904630105e-06	0.7671813222299402	0.767195895453747	0.7756135901951752	6.044729710231419
p01-s02-c0021	sb0004	evenness	4	201	250	0.7671909136907691	0.7671900595967718	6.107268869832764e-06	7.960559439438846e-06	0.7671822397415856	0.7672025881552883	0.8669779484976422	8.259568670723821
p01-s02-c0021	sb0004	TV	1	51	100	8.938153999999862e-05	8.76014999999954e-05	7.192702853245771e-06	0.08047190564456466	7.8117750000006e-05	0.00010001229999999111	0.5439628211296864	3.8195716308880234
p01-s02-c0021	sb0004	TV	2	101	150	8.647471999999757e-05	8.69269999999938e-05	8.967505839484742e-06	0.1037008947757795	7.055804999999519e-05	9.916365000000168e-05	0.7390360966118517	5.338752670857496
p01-s02-c0021	sb0004	TV	3	151	200	8.891557999999742e-05	8.779699999999303e-05	9.059534535708093e-06	0.10188916875657063	7.71829999999967e-05	0.00010190155000000303	0.7014875597358958	7.191816076680013
p01-s02-c0021	sb0004	TV	4	201	250	9.26249199999979e-05	9.262800000000318e-05	7.035988600425882e-06	0.07596215576138735	8.056020000000018e-05	0.00010285194999999825	0.3095229237544944	2.2215122179027875
p01-s02-c0021	sb0005	D0	1	51	100	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0005	D0	2	101	150	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0005	D0	3	151	200	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0005	D0	4	201	250	100.0	100.0	0.0	0.0	100.0	100.0	0.0	1.0
p01-s02-c0021	sb0005	D1	1	51	100	34.22805071970338	34.22806970942164	0.0008075290953531368	2.3592611275648325e-05	34.226893715301344	34.22956588371435	0.75346226757268	7.923831812815693
p01-s02-c0021	sb0005	D1	2	101	150	34.22846366375778	34.22838297915739	0.0007048210497144572	2.059166478046588e-05	34.22735599230545	34.22949882076045	0.605921511582826	3.2483722071076584
p01-s02-c0021	sb0005	D1	3	151	200	34.2281373182665	34.22824675173299	0.0012835459622495104	3.7499731589674374e-05	34.22616205779587	34.2300928828598	0.8973161308650505	14.014633639242607
p01-s02-c0021	sb0005	D1	4	201	250	34.227240190206594	34.22718856725747	0.0006957887981227588	2.0328510106457375e-05	34.22621454696335	34.22847760381615	0.7330461937592163	3.829535532930553
p01-s02-c0021	sb0005	D2	1	51	100	22.206139432532467	22.206225083146727	0.0007225595400983531	3.2538728413088675e-05	22.205025314971227	22.20730747133914	0.83388757064346	8.114915665266148
p01-s02-c0021	sb0005	D2	2	101	150	22.206499796005318	22.206508734224187	0.0004635019472813986	2.0872355010436046e-05	22.2059031690158	22.20729323587521	0.5965704107351019	2.7878134274990667
p01-s02-c0021	sb0005	D2	3	151	200	22.206311428214708	22.20628938489925	0.0006637380915106391	2.9889614655557444e-05	22.2051084994517	22.207207647029247	0.803785310538773	10.688794044687434
p01-s02-c0021	sb0005	D2	4	201	250	22.205754534606253	22.205747433834723	0.0005203370357526543	2.3432531191036187e-05	22.205006642543825	22.206532825630198	0.6992110805348144	5.462339397665721
p01-s02-c0021	sb0005	evenness	1	51	100	0.7671910833720892	0.7671912039040462	5.123053167480423e-06	6.677675586325515e-06	0.7671837431190471	0.7672006956163956	0.7534600655572395	7.923801639399636
p01-s02-c0021	sb0005	evenness	2	101	150	0.7671937031416111	0.7671931913183762	4.47141279324843e-06	5.828270976336575e-06	0.7671866759435034	0.7672002701791226	0.6059153799205442	3.248336099641606
p01-s02-c0021	sb0005	evenness	3	151	200	0.7671916326736298	0.7671923270794743	8.142968907367853e-06	1.0613995982972282e-05	0.7671791011819872	0.7672040387951284	0.8973170733288872	14.01468665605735
p01-s02-c0021	sb0005	evenness	4	201	250	0.7671859412210739	0.7671856137542747	4.414254668597566e-06	5.753826329992074e-06	0.7671794341974901	0.767193791622352	0.7330415744782447	3.829489861555535
p01-s02-c0021	sb0005	TV	1	51	100	8.245952000000275e-05	8.235950000000337e-05	8.139501695224282e-06	0.09870905985414431	6.902334999999563e-05	9.723145000000763e-05	0.736539575018648	5.0292798679145765
p01-s02-c0021	sb0005	TV	2	101	150	8.56076600000003e-05	8.23730000000007e-05	9.683322976211155e-06	0.11311280995428588	7.297514999999719e-05	0.00010311124999999673	0.7426357610993936	3.543301294103006
p01-s02-c0021	sb0005	TV	3	151	200	8.940334000000123e-05	8.784750000000303e-05	9.142253220254867e-06	0.10225851987470201	7.428900000001052e-05	0.00010457844999999574	0.7746229724550605	3.7375882865071164
