run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	generation	source_role	source_run_id	D0	shannon	simpson	D1	D2	evenness	TV	turnover	realized_host_feedback	mean_adult_richness	mean_adult_gene_diversity
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	53	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.250602921563063	0.9440152927753159	25.8058941577702	17.86202071195422	0.7058594558467135	0.222965902	0.09762764200000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	54	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.268124532610947	0.9454158130578527	26.26203952891285	18.320324182164352	0.7096642253427891	0.23666521300000004	0.10426189699999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	55	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2250282046407914	0.9414815264575802	25.154283613346998	17.088620728890067	0.7003059766289234	0.231372426	0.107068447	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	56	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.241482545461307	0.9409313297862065	25.57160472531815	16.929448324815734	0.7038789913397762	0.24228825799999998	0.09681411200000004	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	57	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2424694576626245	0.9423393259044525	25.59685411144305	17.34284268586478	0.7040932966013537	0.232270289	0.112022465	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	58	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1912669668118085	0.9392603802561484	24.319219576762713	16.463718479258784	0.6929748169832481	0.23995076200000004	0.10706718699999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	59	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.209174562740743	0.9379098869488103	24.75864108281932	16.105623759704823	0.6968634020312927	0.24583713799999998	0.09297649200000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	60	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2395232351333707	0.9430741487558505	25.521551067414933	17.56671139990679	0.7034535325078967	0.24311483900000003	0.08914963000000004	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	61	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2264276949558073	0.9422922464812178	25.189511434392536	17.328693962667074	0.7006098720895676	0.23777070400000003	0.08059240699999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	62	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.15554216932813	0.9343865436024474	23.46575605639827	15.240776128923763	0.6852172757761117	0.239194302	0.10161276	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	63	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1499718781670722	0.9341942249009524	23.33540833726081	15.196234654099118	0.6840077024191908	0.22951611800000002	0.091721606	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	64	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.262627972031786	0.9430524524340411	26.1180846285575	17.56001869688526	0.7084706623783008	0.20025725800000002	0.115724084	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	65	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2459870066162773	0.9425521350647482	25.6870508415449	17.407087297797354	0.7048571226515516	0.21719665000000005	0.10109330500000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	66	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2628331414961833	0.9431405357295195	26.1234438117434	17.587221631969634	0.7085152143614222	0.20395132400000002	0.09484108299999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	67	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.218889680905743	0.9395272309962496	25.000346403338433	16.536368624661158	0.6989730131363415	0.220858134	0.07681680600000002	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	68	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.198547175955202	0.9404773880086492	24.49691462520335	16.800337998361183	0.6945556943122868	0.198839561	0.10449788599999997	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	69	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1910493890401095	0.9382565135137585	24.313928830752978	16.196040374604255	0.6929275705704312	0.21977434499999998	0.08460224999999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	70	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.1750522605057383	0.9371991043644444	23.928070328756725	15.923339784884154	0.689453838246044	0.20129127800000002	0.09375646399999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	71	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2714284544868972	0.9434465050968491	26.348950750703462	17.68237315328649	0.7103816628624714	0.21748356800000002	0.0974109	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	72	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.197360282026165	0.9402221187197322	24.46785663374259	16.728595570517324	0.6942979635702942	0.23503755299999995	0.08668981899999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	73	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2721961125570083	0.945250492680024	26.369185501077215	18.265004544344794	0.7105483576943903	0.22856875299999996	0.11003041599999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	74	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3531433623096523	0.9514296713957597	28.592469023943547	20.588701553744436	0.7281258296407991	0.211470146	0.09814426799999999	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	75	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3026115628594646	0.9448786552137579	27.183537819655108	18.141792510287097	0.7171529888098699	0.23841017399999997	0.10422373	0.5	1.0	0.0
