cell_id	cell	panel	H	B	HB	alpha_target	alpha	m	response	n	mean	sd	ci90_low	ci90_high
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	D2_g100	12	22.19931135481045	0.09469781965404439	22.1502174206239	22.248405288997002
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	evenness_g100	12	0.7670374682438953	0.000742286239377042	0.7666526467990438	0.7674222896887468
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	TV_g100	12	0.006245413083333335	0.0006728037133410761	0.005896613276284945	0.006594212890381725
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	TV_tail_mean	12	0.005242662821666665	0.0003755181011324522	0.005047983989459065	0.005437341653874265
p01-s03-c0070	c0070	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.0	TV_tail_sd	12	0.0006295430499247626	0.00021773514824928192	0.0005166632066791566	0.0007424228931703685
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	D1_g100	12	34.20670847535587	0.10974467934088143	34.14981383845115	34.26360311226058
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	D2_g100	12	22.199172949280143	0.08996239487685319	22.15253398853655	22.245811910023736
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	evenness_g100	12	0.7670546183341654	0.0006968975742900061	0.7666933276120352	0.7674159090562956
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	TV_g100	12	0.005987116083333335	0.0006617315374363735	0.0056440563944540134	0.006330175772212656
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	TV_tail_mean	12	0.005057966919999999	0.0003675831271329089	0.004867401794873816	0.005248532045126182
p01-s03-c0071	c0071	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.001	TV_tail_sd	12	0.0005791725404627736	0.0002103693996632295	0.000470111302309021	0.0006882337786165262
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	D1_g100	12	34.21715162418049	0.07184594646025881	34.1799047247273	34.254398523633675
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	D2_g100	12	22.201486624219864	0.05972777499318373	22.170522115582422	22.232451132857307
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	evenness_g100	12	0.7671214883877951	0.0004559109269383595	0.7668851317206214	0.7673578450549688
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	TV_g100	12	0.004223138	0.00042842304219162903	0.004001031802474052	0.004445244197525949
p01-s03-c0072	c0072	alpha-by-m	1000	10	10000	0.01	0.00999900999901	0.01	TV_tail_mean	12	0.0037766195316666653	0.00022307951141295612	0.0036609690246994977	0.003892270038633833
